"track_name","track_artist","track_popularity","track_album_release_date","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","skip_percentage","intentional_percentage","unintentional_percantage","finished_percentage","listens","playing_time_percentage"
"Here With Me","Marshmello",83,"2019-03-08","pop","dance pop",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,156347,0.0454545454545455,0.0454545454545455,0.954545454545455,0.386363636363636,44,0.470643678949563
"Polaroid","Jonas Blue",16,"2018-11-09","pop","dance pop",0.652,0.898,7,-4.481,0,0.0361,0.29,0,0.073,0.472,114.043,193377,0.0666666666666667,0,1,0.4,30,0.485849575354532
"The Middle","Zedd",84,"2018-01-23","pop","dance pop",0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,0,0.025,0.975,0.35,40,0.438586709395232
"Sorry","Joel Corry",75,"2019-04-05","pop","dance pop",0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640,0.32258064516129,0.258064516129032,0.741935483870968,0.258064516129032,31,0.249062559851159
"Sorry","Justin Bieber",81,"2015-11-13","pop","dance pop",0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787,0.32258064516129,0.258064516129032,0.741935483870968,0.258064516129032,31,0.233995035985012
"Dive","Hot Shade",68,"2019-12-20","pop","dance pop",0.654,0.787,4,-4.999,1,0.0502,0.00515,0,0.144,0.409,123.978,164490,0.0476190476190476,0.0317460317460317,0.968253968253968,0.507936507936508,63,0.778962198695921
"Say It","Phantoms",57,"2019-07-19","pop","dance pop",0.745,0.8,11,-5.606,0,0.0361,0.0209,0.000479,0.113,0.314,122.008,204693,0.1,0,1,0.6,20,0.655922283614975
"Rich Love (with Seeb)","OneRepublic",69,"2017-07-14","pop","dance pop",0.401,0.872,1,-3.641,0,0.314,0.167,0,0.362,0.472,104.592,201257,0,0.0769230769230769,0.923076923076923,0.423076923076923,26,0.484989533092208
"Rockstar","Ilkay Sencan",71,"2019-06-21","pop","dance pop",0.771,0.826,11,-3.978,1,0.0604,0.142,0.03,0.145,0.185,100.012,212280,0,0,1,0.310344827586207,29,0.301742493648597
"Fever","GFRIEND",67,"2019-07-01","pop","dance pop",0.764,0.836,1,-2.868,1,0.0396,0.208,0,0.234,0.51,111.934,214293,0.161290322580645,0,1,0.193548387096774,31,0.224149389673439
"Somebody","The Chainsmokers",13,"2018-04-20","pop","dance pop",0.532,0.616,10,-7.074,0,0.0328,0.186,0,0.0928,0.292,101.883,223147,0.04,0.06,0.94,0.32,50,0.362052548320166
